activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,CHEMBL16901,nM,30100.0,uM,30.1
,CCC(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220176,nM,22000.0,uM,22.0
,CCN(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220177,nM,25000.0,uM,25.0
,CCCN(CCC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220178,nM,32000.0,uM,32.0
,CCN(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220179,nM,1600.0,uM,1.6
,CC(C)N(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220180,nM,4000.0,uM,4.0
,CC(C)N(CCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220181,nM,21000.0,uM,21.0
,CC(C)N(CCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL460871,nM,2100.0,uM,2.1
,CC(C)N(CCCCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL511178,nM,2000.0,uM,2.0
,CC(C)N(CCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220182,nM,19000.0,uM,19.0
,CC(C)N(CCCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459837,nM,1300.0,uM,1.3
,CC(C)N(CCN)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220183,nM,46000.0,uM,46.0
,CC(C)N(CCc1ccccn1)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459838,nM,1300.0,uM,1.3
,CCN(C(=O)N1C[C@H](C(=O)O)[C@H](NC(=N)N)C1)C(C)C,CHEMBL3220184,nM,13000.0,uM,13.0
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(C)=O)C(C)C,CHEMBL3220185,nM,7500.0,uM,7.5
,CCC(=O)NC[C@H]1[C@@H](C(=O)O)[C@@H](N)CN1C(=O)N(CC)C(C)C,CHEMBL3220186,nM,16000.0,uM,16.0
,C=CC(=O)NC[C@H]1[C@@H](C(=O)O)[C@@H](N)CN1C(=O)N(CC)C(C)C,CHEMBL3220187,nM,96000.0,uM,96.0
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(=O)C(F)(F)F)C(C)C,CHEMBL3220188,nM,280.0,uM,0.28
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNS(C)(=O)=O)C(C)C,CHEMBL3220439,nM,130000.0,uM,130.0
,CCC(CC)NC(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220440,nM,60.0,uM,0.06
,CCC(CC)NC(=O)[C@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220441,nM,25000.0,uM,25.0
,CCN(CC)C(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220442,nM,70.0,uM,0.07
,CCCN(CCC)C(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220443,nM,43.0,uM,0.043
,CC(=O)N[C@H]1[C@H](O)C=C(C(=O)O)C[C@@H]1N,CHEMBL81159,nM,6300000.0,uM,6300.0
,CO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL312047,nM,3700000.0,uM,3700.0
,CCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309419,nM,2000000.0,uM,2000.0
,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL54758,nM,180000.0,uM,180.0
,CCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL79908,nM,300000.0,uM,300.0
,CCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL83932,nM,200000.0,uM,200.0
,CCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL82771,nM,150000.0,uM,150.0
,CCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81953,nM,270000.0,uM,270.0
,CCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81637,nM,180000.0,uM,180.0
,CCCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL418913,nM,210000.0,uM,210.0
,CCCCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL311274,nM,600000.0,uM,600.0
