activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,20.0,uM,0.02,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,2.7,nM,2.7,Neuraminidase
,CCOC(=O)C1=C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O1.O=C(O)C(F)(F)F,CHEMBL1813526,nM,1952.0,nM,1952.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)OCCCOC(=O)c2ccc3ccccc3c2O)=C[C@@H]1NC(=N)N,CHEMBL1813528,nM,590.0,nM,590.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,1.4,nM,1.4,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1.O=C(O)C(F)(F)F,CHEMBL1813529,nM,5158.0,nM,5158.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)OCCCOC(=O)c2ccc3ccccc3c2O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL1813530,nM,23367.0,nM,23367.0,Neuraminidase
,O=C(O)c1ccc2ccccc2c1O,CHEMBL229299,nM,1000000.0,nM,1000000.0,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(=N)N)C1,CHEMBL1852739,nM,0.5,nM,0.5,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,1.0,nM,1.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N,CHEMBL52270,nM,320.0,nM,320.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,5.0,nM,5.0,Neuraminidase
,C/C=C/C(=O)N[C@@H]1[C@@H](N=[N+]=[N-])CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956712,nM,51576.0,nM,51576.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N=[N+]=[N-])[C@H]1NC(C)=O.[K+],CHEMBL1956713,nM,84.4,nM,84.4,Neuraminidase
,C/C=C/C(=O)N[C@@H]1[C@@H](N)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956714,nM,138962.0,nM,138962.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N)[C@H]1NC(C)=O.[K+],CHEMBL1956715,nM,39.3,nM,39.3,Neuraminidase
,C=CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956716,nM,31.8,nM,31.8,Neuraminidase
,C=CC(=O)N[C@@H]1[C@@H](NCC(C)C)CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956717,nM,14.6,nM,14.6,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,24.9,nM,24.9,Neuraminidase
,C/C=C/C(=O)N[C@@H]1[C@@H](N=[N+]=[N-])CC(C(=O)[O-])=C[C@H]1OC(CC)CC.[K+],CHEMBL1956712,nM,99295.0,nM,99295.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)[O-])C[C@H](N=[N+]=[N-])[C@H]1NC(C)=O.[K+],CHEMBL1956713,nM,2.2,nM,2.2,Neuraminidase
